,US/TH one-model stockcap5 penalty0.02 assets50 IT segment cap 25% + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 25% each + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 IT and TH segments cap 25% each + daily exposure,US/TH one-model stockcap5 penalty0.02 assets50 all US and TH segments cap 25% each + daily exposure
2017-07-13,9938.863834488144,9938.863834812457,9938.863834488144,9938.863834812457
2017-07-14,10001.216327116985,10001.216327443333,10001.216327116985,10001.216327443333
2017-07-15,10001.216327116985,10001.216327443333,10001.216327116985,10001.216327443333
2017-07-16,10001.216327116985,10001.216327443333,10001.216327116985,10001.216327443333
2017-07-17,9956.975723837453,9956.975724162357,9956.975723837453,9956.975724162357
2017-07-18,9945.913204698825,9945.91320502337,9945.913204698825,9945.91320502337
2017-07-19,9948.954098533613,9948.954098858258,9948.954098533613,9948.954098858258
2017-07-20,9985.434313690354,9985.434314016185,9985.434313690354,9985.434314016185
2017-07-21,9936.856148351226,9936.856148675473,9936.856148351226,9936.856148675473
2017-07-22,9989.882353989538,9989.882354315516,9989.882353989538,9989.882354315516
2017-07-23,9961.54208616067,9961.542086485724,9961.54208616067,9961.542086485724
2017-07-24,9897.107766089599,9897.10776641255,9897.107766089599,9897.10776641255
2017-07-25,9846.294280907687,9846.294281228978,9846.294280907687,9846.294281228978
2017-07-26,9865.511229068308,9865.511229390228,9865.511229068308,9865.511229390228
2017-07-27,9828.209257864115,9828.209258184817,9828.209257864115,9828.209258184817
2017-07-28,9869.963584080908,9869.963584402973,9869.963584080908,9869.963584402973
2017-07-29,9840.954617612757,9840.954617933876,9840.954617612757,9840.954617933876
2017-07-30,9852.046416421059,9852.04641674254,9852.046416421059,9852.04641674254
2017-07-31,9859.926188591646,9859.926188913383,9859.926188591646,9859.926188913383
2017-08-01,9863.832735531356,9863.83273585322,9863.832735531356,9863.83273585322
2017-08-02,9862.68726249843,9862.687262820258,9862.68726249843,9862.687262820258
2017-08-03,9892.113744738937,9892.113745061724,9892.113744738937,9892.113745061724
2017-08-04,9932.514965554325,9932.514965878428,9932.514965554325,9932.514965878428
2017-08-05,10054.968056608821,10054.96805693692,10054.968056608821,10054.96805693692
2017-08-06,10042.922170888833,10042.922171216536,10042.922170888833,10042.922171216536
2017-08-07,10097.278549267792,10097.278549597268,10097.278549267792,10097.278549597268
2017-08-08,10109.343289955395,10109.343290285264,10109.343289955395,10109.343290285264
2017-08-09,10012.866986665465,10012.866986992187,10012.866986665465,10012.866986992189
2017-08-10,9907.655506517154,9907.655506840441,9907.655506517154,9907.655506840445
2017-08-11,9959.969163916505,9959.9691642415,9959.969163916505,9959.969164241502
2017-08-12,10023.83578247698,10023.835782804057,10023.83578247698,10023.83578280406
2017-08-13,10072.48792755952,10072.487927888182,10072.48792755952,10072.487927888185
2017-08-14,10212.528005493368,10212.528005826602,10212.528005493368,10212.528005826605
2017-08-15,10180.341475809522,10180.341476141706,10180.341475809522,10180.34147614171
2017-08-16,10245.244487261838,10245.244487596141,10245.244487261838,10245.244487596145
2017-08-17,10117.09405817671,10117.09405850683,10117.09405817671,10117.094058506835
2017-08-18,10047.110548741963,10047.1105490698,10047.110548741963,10047.110549069803
2017-08-19,10055.098761857356,10055.098762185453,10055.098761857356,10055.098762185457
2017-08-20,10029.673827534809,10029.673827862076,10029.673827534809,10029.673827862081
2017-08-21,9989.655303960173,9989.655304286136,9989.655303960173,9989.655304286141
2017-08-22,10094.642213268065,10094.642213597454,10094.642213268065,10094.642213597457
2017-08-23,10098.531542789804,10098.531543119318,10098.531542789804,10098.531543119323
2017-08-24,10203.11414646509,10203.114146798016,10203.11414646509,10203.11414679802
2017-08-25,10197.755428987575,10197.755429320325,10197.755428987575,10197.755429320328
2017-08-26,10193.27654501805,10193.276545350654,10193.27654501805,10193.276545350658
2017-08-27,10200.414925612107,10200.414925944944,10200.414925612107,10200.41492594495
2017-08-28,10237.958075876688,10237.95807621075,10237.958075876688,10237.958076210754
2017-08-29,10363.853975675149,10363.853976013319,10363.853975675149,10363.853976013323
2017-08-30,10439.95007706899,10439.950077409641,10439.95007706899,10439.950077409649
2017-08-31,10600.106758466149,10600.106758812026,10600.106758466149,10600.106758812033
2017-09-01,10653.306651253975,10653.306651657571,10653.306651253975,10653.306651657578
2017-09-02,10585.092579116461,10585.092579517473,10585.092579116461,10585.09257951748
2017-09-03,10586.061199892281,10586.06120029333,10586.061199892281,10586.061200293338
2017-09-04,10480.666793775641,10480.6667941727,10480.666793775641,10480.666794172706
2017-09-05,10475.378797925116,10475.378798565454,10475.378797925116,10475.378798565462
2017-09-06,10541.60499506852,10541.60499572436,10541.60499506852,10541.604995724365
2017-09-07,10586.412776655736,10586.412777513116,10586.412776655736,10586.412777513124
2017-09-08,10457.801543712883,10457.801544451435,10457.801543712883,10457.801544451442
2017-09-09,10457.136314664327,10457.136315402833,10457.136314664327,10457.13631540284
2017-09-10,10431.619849984158,10431.619850720861,10431.619849984158,10431.619850720868
2017-09-11,10522.337412046245,10522.337412777462,10522.337412046245,10522.33741277747
2017-09-12,10515.996757278637,10515.996757909048,10515.996757278637,10515.996757909055
2017-09-13,10430.538593886451,10430.538594498943,10430.538593886451,10430.53859449895
2017-09-14,10218.54981401246,10218.549814633276,10218.54981401246,10218.549814633283
2017-09-15,10248.909941603215,10248.909942118013,10248.909941603215,10248.90994211802
2017-09-16,10248.909941603215,10248.909942118013,10248.909941603215,10248.90994211802
2017-09-17,10248.909941603215,10248.909942118013,10248.909941603215,10248.90994211802
2017-09-18,10267.619232488853,10267.619232899426,10267.619232488853,10267.619232899433
2017-09-19,10231.056690914214,10231.056691349051,10231.056690914214,10231.056691349058
2017-09-20,10223.81135828909,10223.81135870297,10223.81135828909,10223.811358702977
2017-09-21,10146.269386852075,10146.269387106064,10146.269386852075,10146.26938710607
2017-09-22,10149.44991986803,10149.44992015081,10149.44991986803,10149.449920150817
2017-09-23,10149.44991986803,10149.44992015081,10149.44991986803,10149.449920150817
2017-09-24,10149.44991986803,10149.44992015081,10149.44991986803,10149.449920150817
2017-09-25,10071.138410147896,10071.13841044476,10071.138410147896,10071.138410444768
2017-09-26,10076.36464253909,10076.364642865457,10076.36464253909,10076.364642865465
2017-09-27,10127.3802355514,10127.380235602099,10127.3802355514,10127.380235602106
2017-09-28,10129.110860877174,10129.110860933533,10129.110860877174,10129.11086093354
2017-09-29,10182.995810662422,10182.995810723118,10182.995810662422,10182.995810723125
2017-09-30,10225.957924004511,10225.957924065464,10225.957924004511,10225.957924065471
2017-10-01,10241.28498771574,10241.284987776784,10241.28498771574,10241.284987776791
2017-10-02,10337.612718509617,10337.612716827452,10337.612718037595,10337.612716710451
2017-10-03,10392.885045423569,10392.885046119056,10392.885027696162,10392.88504701955
2017-10-04,10312.64367858496,10312.643681865859,10312.643660232623,10312.643682502205
2017-10-05,10390.685689105589,10390.685693086745,10390.685675395527,10390.685692368697
2017-10-06,10401.206690033094,10401.206694601358,10401.206667326695,10401.206696668047
2017-10-07,10414.552053385694,10414.552057959821,10414.55203065016,10414.55206002916
2017-10-08,10457.742779271302,10457.7427838644,10457.742756441481,10457.74278594232
2017-10-09,10548.800681492568,10548.800685612543,10548.800655809977,10548.800688952128
2017-10-10,10627.76655995981,10627.766561881768,10627.766549434346,10627.76656208863
2017-10-11,10617.066382712024,10617.066386859415,10617.066380368384,10617.066384452382
2017-10-12,10706.001202365602,10706.001201464773,10706.001204912725,10706.001200655815
2017-10-13,10754.059130825928,10754.059129921056,10754.059133384484,10754.059129108467
2017-10-14,10789.2089674401,10789.20896653227,10789.20897000702,10789.208965717025
2017-10-15,10760.79190269785,10760.79190179241,10760.791905258007,10760.791900979313
